CAPAIAN INVESTASI PROYEK EFFIENSI ENERGI TAHUN 2026;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
No;Nama  Instansi/Perusahaan;Alamat;Sektor / Jenis;Jenis Kegiatan;Deskripsi (Jenis Kegiatan Efisiensi Energi);Nilai Investasi (Rp);Nilai Investasi (USD) (1 USD= Rp.16.500);Penghematan Energi (GJ);Sumber Data;Keterangan;Latt;Long;KBLI 2020;Bidang Usaha KBLI 2020;Status (PMA/PMDN)
1;PT. PLN Nusantara Power - Pembangkitan Pacitan;Jl. Raya Pacitan-Trenggalek Km. 55, Desa Sukorejo, Kec. Sudimoro, Kab. Pacitan, Jawa Timur 63573;Pembangkit Listrik;Penggantian Alat;Penggantian Labirin Seal HIP Turbin sisi gland steam;Rp3.500.000.000;212.121;741,226;;Januari;;;;;
;;;;Penggantian Alat;Penggantian Elemen Air Heater Unit 1;Rp20.000.000.000;1.212.121;1.273.850;;Januari;;;;;
2;PT. Amerta Indah Otsuka - Pasuruan;Jl. Raya Pasuruan - Malang Km 11 Desa Pacarkeling, Kecamatan Kejayan Kab Pasuruan 67172;Industri Makanan dan Minuman;Modifikasi alat;Recovery Condensate Steam OC1;Rp164.000.000;9.939;781,64;;Januari;;;;;
;;;;Perbaikan alat;Jacketing Steam Pipe at Preparation;Rp225.544.000;13.669;5.183,84;;Januari;;;;;
;;;;Modifikasi alat;Reduce Consume Energy Water Removal OC 2;Rp354.000.000;21.455;470,23;;Januari;;;;;
;;;;Optimasi Sistem;Air Recovery System Blow OC 2;Rp2.088.490.000;126.575;301,74;;Januari;;;;;
;;;;Optimasi Sistem;Inverter Compressor 7 Bar;Rp273.750.000;16.591;86,2;;Januari;;;;;
;;;;Optimasi Sistem;Buffer Tank Low Press Compressor;Rp68.000.000;4.121;154,29;;Januari;;;;;
;;;;Penggantian Alat;Energy Saving Chiller FSB;Rp2.800.000.000;169.697;604,89;;Januari;;;;;
;;;;Penggantian Alat;New Root Blower WWTP;Rp380.000.000;23.030;559,29;;Januari;;;;;
;;;;Modifikasi alat;Hybrid Solar PV-Wind Turbine Exhaust Fan Trafo;Rp251.831.000;15.262;6,66;;Januari;;;;;
;;;;Pemeliharaan alat;Energy Saving Fan CT Liangchi (Filler & Eliminator);Rp320.235.000;19.408;238,4;;Januari;;;;;
3;PT. Semen Tuban;Jl. Semen Indonesia, Area Ladang, Sumberarum, Kerek, Kab. Tuban, Jawa Timur 62356;Industri Semen;Optimasi Sistem;Implementasi Plant Optimizer Raw Mill Tuban 4;Rp1.129.670.000;68.465;14,057;;Januari;;;;;
;;;;Optimasi Sistem;Implementasi Plant Optimizer Finish Mill 7 Tuban 4;Rp1.129.670.000;68.465;1,372;;Januari;;;;;
;;;;Optimasi Sistem;Implementasi Plant Optimizer Finish Mill 8 Tuban 4;Rp1.129.670.000;68.465;13,81;;Januari;;;;;
4;PT. PLN INDONESIA POWER - PLTDG BALI PGU;Jl. Bypass Ngurah Rai Jl. Pesanggaran No.535, Pedungan, Denpasar Selatan, Kota Denpasar, Bali 80222;Pembangkit Listrik;Lainnya;Program Peningkatan Efisiensi Energi melalui Konversi BBM ke LNG;Rp1.512.790.000;91.684;182,628;;Januari;;;;;
;;;;Lainnya;Water Injection;Rp233.900.000;14.176;13.638,6;;Januari;;;;;
;;;;Perbaikan alat;Jacketing Steam Pipe at Preparation;Rp225.544.000;13.669;5.183,84;;Januari;;;;;
;;;;Modifikasi alat;PENDEKAR Peningkatan Daya Mampu Unit PLTDG dengan Penambahan Kapasitas Ruang Bakar;Rp970.560.000;58.822;253,706;;Januari;;;;;
5;PT Uni-Charm Indonesia Tbk Factory 3;Ngoro Industrial Park Blok D2-1, Desa Lolawang, Ngoro-Mojokerto, 61385;Industri Tekstil dan Garmen;Optimasi Sistem;Efisiensi Compressor;Rp793.426.000;48.086;2.545,54;;Januari;;;;;
